epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,1166.51,1.13946,0.32983,0,0.52788,0.97427,0.97276,0.97191,0.99026,0.70284,0.97652,0.97562,0.99218,0.9667,1.09765,0.22254,0,0.46702,0.97886,0.0006932,0.0006932,0.0006932
101,1176.45,1.14725,0.32873,0,0.53013,0.97276,0.97176,0.96642,0.98976,0.70983,0.97659,0.97292,0.99159,0.96707,1.06753,0.21595,0,0.46023,0.97631,0.00068,0.00068,0.00068
102,1189.83,1.13405,0.3359,0,0.53069,0.97684,0.96771,0.96886,0.98954,0.70622,0.97305,0.97583,0.99129,0.9663,1.07564,0.21998,0,0.46559,0.97511,0.0006668,0.0006668,0.0006668
103,1202.25,1.13761,0.32172,0,0.52273,0.97108,0.97015,0.96767,0.99027,0.70466,0.97155,0.97732,0.99198,0.96647,1.07868,0.21967,0,0.45655,0.97777,0.0006536,0.0006536,0.0006536
104,1212.64,1.13,0.31026,0,0.50966,0.9679,0.97013,0.97244,0.99084,0.72172,0.97544,0.9788,0.9924,0.96995,1.04797,0.21081,0,0.44367,0.96599,0.0006404,0.0006404,0.0006404
105,1222.94,1.14706,0.33364,0,0.52517,0.97083,0.96867,0.97191,0.98996,0.71019,0.97501,0.97827,0.99226,0.96849,1.06988,0.21884,0,0.45644,0.97703,0.0006272,0.0006272,0.0006272
106,1234.08,1.13042,0.33513,0,0.5201,0.96439,0.97399,0.9682,0.99039,0.7147,0.97897,0.9735,0.9921,0.96809,1.06274,0.21446,0,0.45645,0.9716,0.000614,0.000614,0.000614
107,1246.07,1.12149,0.31631,0,0.51498,0.96108,0.97569,0.96661,0.98977,0.71476,0.97976,0.97476,0.99187,0.96754,1.06587,0.21512,0,0.44744,0.97232,0.0006008,0.0006008,0.0006008
108,1260.79,1.12884,0.31313,0,0.51705,0.96392,0.97406,0.97138,0.99005,0.71232,0.97771,0.97634,0.99156,0.96807,1.06398,0.2129,0,0.44908,0.97338,0.0005876,0.0005876,0.0005876
109,1272,1.13518,0.33693,0,0.5285,0.97465,0.97761,0.96502,0.99049,0.70834,0.98001,0.97085,0.99212,0.9683,1.07079,0.21426,0,0.456,0.97314,0.0005744,0.0005744,0.0005744
110,1282.3,1.13465,0.32084,0,0.52104,0.97124,0.97683,0.96661,0.99074,0.71333,0.98131,0.97369,0.99225,0.97055,1.06309,0.21266,0,0.45336,0.97044,0.0005612,0.0005612,0.0005612
111,1294.36,1.12376,0.32071,0,0.52172,0.96889,0.97425,0.9682,0.9909,0.71399,0.97931,0.97509,0.99263,0.97028,1.06512,0.21261,0,0.44659,0.97187,0.000548,0.000548,0.000548
112,1306,1.11838,0.32058,0,0.51819,0.96136,0.976,0.96992,0.9912,0.71554,0.97881,0.97907,0.99283,0.96895,1.0509,0.2119,0,0.4391,0.96771,0.0005348,0.0005348,0.0005348
113,1318.85,1.10697,0.30079,0,0.50743,0.95978,0.96938,0.9735,0.99012,0.71698,0.97466,0.9788,0.99173,0.96919,1.05694,0.21079,0,0.4455,0.96752,0.0005216,0.0005216,0.0005216
114,1331.19,1.10536,0.31103,0,0.51212,0.96034,0.97699,0.96744,0.99071,0.71937,0.98074,0.97562,0.99236,0.97008,1.04895,0.20942,0,0.44677,0.96549,0.0005084,0.0005084,0.0005084
115,1341.4,1.12277,0.31866,0,0.51107,0.96304,0.97435,0.97138,0.99127,0.72526,0.97865,0.97774,0.99271,0.97131,1.04064,0.20675,0,0.43478,0.96088,0.0004952,0.0004952,0.0004952
116,1351.76,1.10711,0.30309,0,0.50734,0.95985,0.97495,0.96932,0.99133,0.71847,0.98012,0.97403,0.9926,0.97011,1.05433,0.21038,0,0.43971,0.96648,0.000482,0.000482,0.000482
117,1361.89,1.08916,0.29976,0,0.50238,0.95455,0.97178,0.96736,0.98997,0.72087,0.97662,0.97509,0.99196,0.96998,1.04196,0.21191,0,0.4434,0.96385,0.0004688,0.0004688,0.0004688
118,1371.95,1.10482,0.30774,0,0.50661,0.96424,0.97094,0.97244,0.9911,0.72299,0.97485,0.9788,0.99259,0.97096,1.04117,0.20508,0,0.43957,0.96409,0.0004556,0.0004556,0.0004556
119,1382.36,1.10422,0.30072,0,0.5088,0.95941,0.96979,0.96967,0.9909,0.72078,0.97662,0.97403,0.99226,0.97178,1.04292,0.20589,0,0.44446,0.9625,0.0004424,0.0004424,0.0004424
